threshold,accuracy,precision,recall,specificity,f1,balanced_accuracy,youden_j,tp,tn,fp,fn
0.79,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.8,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.81,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.82,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.83,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.84,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.85,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.86,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.87,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.88,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.89,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.9,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.91,0.5757575757575758,0.0,0.0,1.0,0.0,0.5,0.0,0,19,0,14
0.92,0.5757575757575758,0.0,0.0,1.0,0.0,0.5,0.0,0,19,0,14
0.93,0.5757575757575758,0.0,0.0,1.0,0.0,0.5,0.0,0,19,0,14
0.94,0.5757575757575758,0.0,0.0,1.0,0.0,0.5,0.0,0,19,0,14
0.95,0.5757575757575758,0.0,0.0,1.0,0.0,0.5,0.0,0,19,0,14
